Row LabelsSum of Order Price,,,,,,,,,
"Grand Total1,199,708,905.01",,,,,,,,,
Row Labels,Sum of Order Price,,,,,,,,
Jiyana Global Consulting & Trader,1560000.00,,,,,,,,
Kaizen Print & Sign,134000.00,,,,,,,,
KAYA MNANDI,53975.00,,,,,,,,
Kempston Hire,232507.88,,,,,,,,
Khanyasonke Communication,156000.00,,,,,,,,
Khanyisile Ngolwazi,5421635.06,,,,,,,,
Khaya Engineering and Technology,1248000.00,,,,,,,,
Koloni Consulting Enterprise,35579460.00,,,,,,,,
KOTSEDI MEDICAL,12535.00,,,,,,,,
Lechoba Medical Technologies,600000.00,,,,,,,,
Leonel Projects,37056854.72,,,,,,,,
Lethlakeng Trading&Projects,1517600.00,,,,,,,,
LFD Project,1442600.00,,,,,,,,
LINDO LETHU,1999959.00,,,,,,,,
Linn Business Solutions,63000.00,,,,,,,,
Linose Trading,1560000.00,,,,,,,,
Lionbee Investments,1248000.00,,,,,,,,
Liora Medical Supplies,916294.50,,,,,,,,
LLPW Consultants,1248000.00,,,,,,,,
Logan Medical,5400135.00,,,,,,,,
LSS-Laundry Services &Supplies,1248000.00,,,,,,,,
Lugaju Innovations,1248000.00,,,,,,,,
LUNGANI NDLEBE FAMILY TRUST,742386.80,,,,,,,,
Luphawu,1517600.00,,,,,,,,
Majodina Group,1340000.00,,,,,,,,
Malihlume,2125000.00,,,,,,,,
Mbasazwe Enterprise R10 CC,1560000.00,,,,,,,,
Mbuso Medical,15395592.20,,,,,,,,
MDK Technology Solutions,3685000.00,,,,,,,,
Medical International Orthopaedic,90000.00,,,,,,,,
Medicare Technologies,265520.00,,,,,,,,
Medicore,4732220.00,,,,,,,,
Meditex,857600.00,,,,,,,,
Memarise Holdings,1560000.00,,,,,,,,
MEONDO,195000.00,,,,,,,,
Milwa Medical,2400300.00,,,,,,,,
MINUS R40,108721.94,,,,,,,,
Mkhanzane Investment,1248000.00,,,,,,,,
Mkhonto Wethu Trading,1172500.00,,,,,,,,
Msi Technologies,2260000.00,,,,,,,,
My Like General,7560000.00,,,,,,,,
Nduna Events Management,1560000.00,,,,,,,,
NEW HORIZON METALS,2995975.66,,,,,,,,
NMU,560000.00,,,,,,,,
Ntshuza General Trading,1248000.00,,,,,,,,
Ntsikana ka Gabha,1248000.00,,,,,,,,
NUTIGEN,4003550.00,,,,,,,,
Oshlanga,1390000.00,,,,,,,,
Pluribix,652179.00,,,,,,,,
PREMAX TRADING,22911.00,,,,,,,,
Progress Medical,893000.00,,,,,,,,
Promed Technologies,2098970.00,,,,,,,,
Prometheus Capital,1010000.00,,,,,,,,
Prudence,1560000.00,,,,,,,,
Purple Sunshine Trading R70,1266250.00,,,,,,,,
Quality Medical Supplies,5834000.00,,,,,,,,
Randilex Solutions (Pty) Ltd,1560000.00,,,,,,,,
Royal Fotress Holding,916000.00,,,,,,,,
Safarmex,2881350.31,,,,,,,,
Sagient Consulting Engineers,1560000.00,,,,,,,,
SALAISO SUPPLIERS,1560000.00,,,,,,,,
Sanbonani,488500.00,,,,,,,,
Sanoah Trading Enterprise,1248000.00,,,,,,,,
SBV Holdings,1130000.00,,,,,,,,
Screen Led,1248000.00,,,,,,,,
Senred Enterprises,781590.00,,,,,,,,
Sithi Shuffle Trading R144,1517600.00,,,,,,,,
SIYAKHANDA MEDCIAL,1694546.00,,,,,,,,
Somlolo Group Investments,1560000.00,,,,,,,,
Soul Fire Holdings,1594117.65,,,,,,,,
Srarlif Trading R8,1362500.00,,,,,,,,
SSEM Mthembu,30852979.09,,,,,,,,
Stiegelmeyer,2453111.45,,,,,,,,
Stowie-m Trading,1517600.00,,,,,,,,
Suprahealthcare,1111500.00,,,,,,,,
SWAZILWAM TRADING (PTY) LTD,1560000.00,,,,,,,,
Tara Technologies,143276.00,,,,,,,,
Tecmed Medical,1726048.11,,,,,,,,
TSEBO SOLUTIONS GROUP,5064575.00,,,,,,,,
Tshila Mega Chemicals,1560000.00,,,,,,,,
Tsivane Trading,1560000.00,,,,,,,,
TYEKS SECURITY SERVICES,493842.87,,,,,,,,
Ubuqawuqawuli,1560000.00,,,,,,,,
Umhlaba Group,8272000.00,,,,,,,,
Umnombo Advisory,1130000.00,,,,,,,,
UNCEDO TRANSPORT & BUSINESS,79120.00,,,,,,,,
UNICORE HOLDINGS,336574.00,,,,,,,,
Uni-Life Investment Group,1350000.00,,,,,,,,
Unitrade R1032 CC,8350797.00,,,,,,,,
U-Rent,1188200.00,,,,,,,,
Uthanda,1248000.00,,,,,,,,
UZZUR16 TRADING,499985.00,,,,,,,,
Valotype R248 t/a Vortex Health,1998900.00,,,,,,,,
Vortex,3071562.00,,,,,,,,
Vulindlela Media Housing,444061.00,,,,,,,,
W W Zenande,1510000.00,,,,,,,,
WELCH ALLYN SA,1235312.00,,,,,,,,
Worldfocus,1248000.00,,,,,,,,
XV Civils,1517600.00,,,,,,,,
Yema Ideas,2260000.00,,,,,,,,
Zamaswazi Group,2378000.00,,,,,,,,
Zanokhanyo,1793412.21,,,,,,,,
Zencare Medical,5714000.00,,,,,,,,
Zondiphaze,3044000.00,,,,,,,,
Zus Enterprise,7518214.00,,,,,,,,
DOT,5907275.16,,,,,,,,
Adalindyebo,134950.00,,,,,,,,
Amaza,110000.00,,,,,,,,
Axab,510000.00,,,,,,,,
Beloved Ventures,75000.00,,,,,,,,
